"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"NAVN";"LINK TIL INFOSIDER";"TILLEGGSINFORMASJON";"GEOMETRI, PUNKT";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"KJØREFELT";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI";"GEO.HØYDEREFERANSE"
"154788377";"638";"2";"1";"2023-01-05";"";"2024-09-16T15:47:35";"Kristiansund trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/kristiansund/";"";"POINT (136093.024505357 7018299.92945552)";"Kristiansund";"1505";"Møre og Romsdal";"15";"RUTE6E";"9403 Nordmøre 2022-2027 (f.o.m 01.09.2023),9452 Elektrokontrakt Møre og Romsdal 2022-2027,9481 Rekkverk Trøndelag og Møre og Romsdal 2023-2024";"RV70 S18D1 m3161";"Riksveg";"Eksisterende";"70";"18";"1";"3160,709";"3160,709";"249020";"0,17301089";"0,17301089";"WITH";"";"";"enkelBilveg";"0";"";"44:490557385";"POINT Z(136086.621 7018355.692 24.391)";""
"154788378";"638";"1";"1";"2008-01-15";"";"2024-08-22T15:13:58";"Sunndalsøra trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/sunndalsora/";"";"POINT (170680.599356925 6965811.34221204)";"Sunndal";"1563";"Møre og Romsdal";"15";"";"1505 Indre Nordmøre 2015-2023,1507 Indre Nordmøre 01.09.2023-2027,E1550 Elektrokontrakt Møre og Romsdal";"FV62 S7D1 m10235";"Fylkesveg";"Eksisterende";"62";"7";"1";"10235,068";"10235,068";"248991";"0,89107824";"0,89107824";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017167661";"POINT Z(170672.409 6965834.14 6.492)";""
"154788379";"638";"1";"1";"2008-01-15";"";"2024-08-26T11:58:49";"Ørsta trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/orsta/";"";"POINT (36963.8891099699 6926371.65641883)";"Ørsta";"1520";"Møre og Romsdal";"15";"RUTE4A";"E1552 2017-2022,9452 Elektrokontrakt Møre og Romsdal 2022-2027,9404 Sunnmøre og Indre Romsdal,9481 Rekkverk Trøndelag og Møre og Romsdal 2023-2024";"EV39 S39D1 m4728";"Europaveg";"Eksisterende";"39";"39";"1";"4728,235";"4728,235";"248904";"0,6710287";"0,6710287";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017167372";"POINT Z(36908.068 6926561.783 64.623)";""
"154788381";"638";"2";"1";"2023-01-05";"";"2024-04-25T09:57:39";"Steinkjer trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/steinkjer/";"";"POINT (329088.977204681 7104603.41052957)";"Steinkjer";"5006";"Trøndelag";"50";"";"5008 Steinkjer 2021-2026,E5052 Trøndelag Nord,Skiltkontrakt Trøndelag FK 2020-2025";"FV763 S1D1 m1187";"Fylkesveg";"Eksisterende";"763";"1";"1";"1187,36";"1187,36";"578177";"0,12211764";"0,12211764";"WITH";"";"";"enkelBilveg";"0";"";"44:1017167763";"POINT Z(329140.357 7104550.973 16.118)";""
"154788382";"638";"1";"1";"2008-01-15";"";"2024-10-15T18:28";"Levanger servicekontor";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/levanger/";"";"POINT (317451.618690283 7073998.98935016)";"Levanger";"5037";"Trøndelag";"50";"";"5007 Stjørdal 2020-2027,E5052 Trøndelag Nord,Skiltkontrakt Trøndelag FK 2020-2025";"FV6874 S1D1 m330";"Fylkesveg";"Eksisterende";"6874";"1";"1";"329,592";"329,592";"578321";"0,03420583";"0,03420583";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(317394.971 7074051.443 5.953)";""
"154788383";"638";"1";"1";"2008-01-15";"";"2023-02-20T10:37:30";"Namsos trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/namsos/";"";"POINT (333295.042762124 7153895.50235787)";"Namsos";"5007";"Trøndelag";"50";"";"5011 Namsos 2022-2027,E5052 Trøndelag Nord,Skiltkontrakt Trøndelag FK 2020-2025";"FV17 S9D10 m0";"Fylkesveg";"Eksisterende";"17";"9";"10";"0";"0";"578108";"0";"0";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017167828";"POINT Z(333756.4 7153914.5 14.61)";""
"154788384";"638";"1";"1";"2008-01-15";"";"2024-08-12T09:24:47";"Molde trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/molde/";"";"POINT (106276.579150047 6983033.51386789)";"Molde";"1506";"Møre og Romsdal";"15";"";"1504 Ytre Romsdal 2018-2023,1539 Tunnel- og bergsikr 2018-2023 Nordm og Romsd,E1550 Elektrokontrakt Møre og Romsdal,1504 Ytre Romsdal 2023-2028";"FV538 S1D1 m6358";"Fylkesveg";"Eksisterende";"538";"1";"1";"6357,614";"6357,614";"249438";"0,96221439";"0,96221439";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"44:490557386";"POINT Z(106231.303 6983073.051 109.589)";""
"154788385";"638";"1";"1";"2008-01-16";"";"2024-10-07T16:05:23";"Brekstad trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/brekstad/";"";"POINT (236292.876185029 7074034.37423679)";"Ørland";"5057";"Trøndelag";"50";"";"5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,E5052 Trøndelag Nord,Skiltkontrakt Trøndelag FK 2020-2025";"FV710 S8D1 m965";"Fylkesveg";"Eksisterende";"710";"8";"1";"965,424";"965,424";"72839";"0,10870681";"0,10870681";"WITH";"";"";"enkelBilveg";"0";"";"44:1017167833";"POINT Z(236246.692 7074060.898 3.42)";""
"154788388";"638";"2";"1";"2023-01-05";"";"2023-01-05T13:08:18";"Ålesund trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/alesund/";"";"POINT (55591.2545423125 6956702.94670949)";"Ålesund";"1508";"Møre og Romsdal";"15";"";"1500 Ålesund 2020-2025,E1550 Elektrokontrakt Møre og Romsdal,1500 Ålesund 2025-2030";"FV5946 S2D1 m4591";"Fylkesveg";"Eksisterende";"5946";"2";"1";"4590,616";"4590,616";"249661";"0,98222936";"0,98222936";"WITH";"";"";"enkelBilveg";"0";"";"44:1017167452";"POINT Z(55736.656 6956592.775 42.937)";""
"154788389";"638";"1";"1";"2008-01-15";"";"2024-05-30T10:48:45";"Trondheim trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/trondheim/";"";"POINT (270413.806580184 7038241.26675203)";"Trondheim";"5001";"Trøndelag";"50";"RUTE6A";"Driftskontrakt riksveg Trøndelag sør 2020-2025,9401 Trondheim 2020-2025 (f.o.m. 01.09.2023),9451 Elektrokontrakt Trøndelag 2022-2026,DK 9405 Trøndelag sør,9481 Rekkverk Trøndelag og Møre og Romsdal 2023-2024";"EV6 S76D1 m1148";"Europaveg";"Eksisterende";"6";"76";"1";"1148,397";"1148,397";"72811";"0,16494506";"0,16494506";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017168802";"POINT Z(270325.969 7038532.478 39.476)";""
"154788390";"638";"1";"1";"2008-01-15";"";"2023-01-05T15:39:39";"Stjørdal trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/stjordal/";"";"POINT (295437.558047449 7045109.97762921)";"Stjørdal";"5035";"Trøndelag";"50";"";"5007 Stjørdal 2020-2027,E5052 Trøndelag Nord,Skiltkontrakt Trøndelag FK 2020-2025";"FV6802 S1D1 m434";"Fylkesveg";"Eksisterende";"6802";"1";"1";"433,979";"433,979";"578261";"0,4947327";"0,4947327";"WITH";"";"";"enkelBilveg";"0";"";"44:1017168827";"POINT Z(295572.786 7044885.136 2.847)";""
"154788391";"638";"1";"1";"2008-01-16";"";"2023-01-05T15:45:40";"Orkdal trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/orkdal/";"";"POINT (241338.80630911 7029014.95060593)";"Orkland";"5059";"Trøndelag";"50";"RUTE4B";"9451 Elektrokontrakt Trøndelag 2022-2026,9403 Nordmøre 2022-2027 (f.o.m 01.09.2023),9481 Rekkverk Trøndelag og Møre og Romsdal 2023-2024";"EV39 S4D1 m290";"Europaveg";"Eksisterende";"39";"4";"1";"290,312";"290,312";"72837";"0,04658728";"0,04658728";"WITH";"";"";"enkelBilveg";"0";"";"44:1017168839";"POINT Z(241356.585 7029117.896 5.104)";""
"154788392";"638";"1";"1";"2008-01-16";"";"2024-09-26T11:02:21";"Oppdal servicekontor";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/oppdal/";"";"POINT (227417.355638859 6951690.88600952)";"Oppdal";"5021";"Trøndelag";"50";"RUTE6E";"9451 Elektrokontrakt Trøndelag 2022-2026,9403 Nordmøre 2022-2027 (f.o.m 01.09.2023),9481 Rekkverk Trøndelag og Møre og Romsdal 2023-2024";"RV70 S1D1 m216";"Riksveg";"Eksisterende";"70";"1";"1";"215,645";"215,645";"72828";"0,00307575";"0,00307575";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(227496.7 6951740.864 543.198)";""
"154788393";"638";"1";"1";"2008-01-16";"";"2024-09-26T10:08:43";"Røros trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/roros/";"";"POINT (313477.876708953 6942437.01608088)";"Røros";"5025";"Trøndelag";"50";"";"5005 Røros 2020-2025,E5051 Trøndelag Sør,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030";"FV30 S14D1 m82";"Fylkesveg";"Eksisterende";"30";"14";"1";"81,793";"81,793";"72822";"0,14431719";"0,14431719";"WITH";"";"";"enkelBilveg";"0";"";"44:1017168856";"POINT Z(313482.732 6942527.377 632.134)";""
"190490692";"638";"2";"1";"2022-12-30";"";"2022-12-30T13:06:49";"Risløkka trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/rislokka/";"";"POINT (266519.7543124 6651072.1507651)";"Oslo";"301";"Oslo";"3";"RUTE6A";"9104 Oslo-Gardermoen 2021-2026,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Oslo 2021-2023,9161 Oslo Elektro 2023-2028,9165 Stor Oslo Trafikksignalanlegg 2023-2028,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Rekkverksvedlikehold Øst 2 Oslo Viken 2023-2024";"RV163 S1D1 m2083";"Riksveg";"Eksisterende";"163";"1";"1";"2082,691";"2082,691";"625530";"0,15898823";"0,15898823";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017156757";"POINT Z(266547.793 6651023.187 113.11)";"topp"
"190490693";"638";"2";"1";"2022-12-22";"";"2022-12-22T14:20:42";"Billingstad trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/billingstad/";"";"POINT (247308.036044822 6645759.73232423)";"Asker";"3203";"Akershus";"32";"";"30-2E01- Veilys Viken Nord 2021-2026,30-301 Asker og Bærum 2022-2027,30-1E01 Elektrokontrakt Viken 2023-2027";"FV1424 S2D1 m1309 KD1 m14";"Fylkesveg";"Eksisterende";"1424";"2";"1";"14";"14";"443877";"0,18778006";"0,18778006";"WITH";"";"";"rundkjøring";"0";"";"44:1017152335";"POINT Z(247434.634 6645714.363 7.142)";"topp"
"190490694";"638";"2";"1";"2022-12-22";"";"2022-12-22T13:51:38";"Drøbak trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/drobak/";"";"POINT (254994.118953192 6622614.115247)";"Frogn";"3214";"Akershus";"32";"";"30-2E01- Veilys Viken Nord 2021-2026,30-104 Follo 2022-2027,30-1E01 Elektrokontrakt Viken 2023-2027";"FV152 S1D50 m641";"Fylkesveg";"Eksisterende";"152";"1";"50";"641,446";"641,446";"443521";"0,67566129";"0,67566129";"WITH";"";"";"enkelBilveg";"0";"";"44:1017152309";"POINT Z(254951.511 6622640.709 81.439)";"topp"
"190490695";"638";"2";"1";"2022-12-22";"";"2022-12-22T10:07:52";"Lillestrøm trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/lillestrom/";"";"POINT (279571.57518335764 6654801.203494261)";"Lillestrøm";"3205";"Akershus";"32";"RUTE1";"9104 Oslo-Gardermoen 2021-2026,02E01 DV Elektro og automasjon Follo Romerike og Østfold 2022-2025,9151 Stor-Oslo veglys 2023-2027,9151 Stor-Oslo veglys 2021-2023,Vegoppmerking Romerike og Follo 2021-2023,9165 Stor Oslo Trafikksignalanlegg 2023-2028,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Rekkverksvedlikehold Øst 2 Oslo Viken 2023-2024";"RV226 S1D1 m168 KD1 m47";"Riksveg";"Eksisterende";"226";"1";"1";"47";"47";"1901584";"0,68127456";"0,68127456";"WITH";"LEFT";"";"rundkjøring";"0";"";"44:1017150867";"POINT Z(279695.352 6654723.001 111.959)";""
"190811694";"638";"1";"1";"2008-09-26";"";"2022-09-21T08:53:34";"Kongsvinger trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/kongsvinger/";"";"POINT (334876.475236565 6675888.72627108)";"Kongsvinger";"3401";"Innlandet";"34";"";"3407 Kongsvinger 2022-2028,I01E Innlandet fylkeskommune driftskontrakt Elektro 2021-2026";"FV2034 S1D1 m114";"Fylkesveg";"Eksisterende";"2034";"1";"1";"113,524";"113,524";"704986";"0,140986";"0,140986";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(334822.952 6675889.717 168.484)";"topp"
"190811696";"638";"1";"1";"2008-09-26";"";"2024-06-19T12:39:38";"Lillehammer trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/lillehammer/";"";"POINT (255037.564499413 6785588.59327877)";"Lillehammer";"3405";"Innlandet";"34";"";"3412 Sør Gudbrandsdal 2020 - 2025,I01E Innlandet fylkeskommune driftskontrakt Elektro 2021-2026,3412 Sør Gudbrandsdal 2025 - 2031";"FV213 S8D1 m1781";"Fylkesveg";"Eksisterende";"213";"8";"1";"1781,257";"1781,257";"1060687";"0,96429047";"0,96429047";"WITH";"";"";"enkelBilveg";"0";"";"";"POINT Z(255122.979 6785658.424 198.499)";"topp"
"190811699";"638";"2";"1";"2022-12-30";"";"2022-12-30T13:36:53";"Tynset trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/tynset/";"";"POINT (279039.514056622 6910938.69428689)";"Tynset";"3427";"Innlandet";"34";"";"3405 Nord-Østerdalen 2020-2026,I01E Innlandet fylkeskommune driftskontrakt Elektro 2021-2026";"FV2222 S3D10 m375";"Fylkesveg";"Eksisterende";"2222";"3";"10";"375,409";"375,409";"705132";"0,7583139";"0,7583139";"WITH";"";"";"enkelBilveg";"0";"";"44:1017156773";"POINT Z(278999.264 6910938.593 508.573)";"topp"
"190811700";"638";"2";"1";"2022-12-29";"";"2023-05-19T12:08:57";"Otta trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/otta/";"";"POINT (212726.14811922098 6858207.581866264)";"Sel";"3437";"Innlandet";"34";"RUTE6A";"9107 Gudbrandsdalen 2021-2025,9152 Innlandet veglys 2021-2026,05E01 Elektro og automasjon Oppland 2021-2025,Vegoppmerking Innlandet 2021-2023,Utgår 9107 Gudbrandsdalen 2025-2030,9107 Gudbrandsdalen 2025-2030";"EV6 S49D1 m8358";"Europaveg";"Eksisterende";"6";"49";"1";"8358";"8358";"1060625";"0,44510092";"0,44510092";"WITH";"RIGHT";"";"kanalisertVeg";"0";"";"44:1017156489";"POINT Z(212576.423 6858308.116 285.009)";""
"190811701";"638";"1";"1";"2008-09-26";"";"2024-07-08T14:16:49";"Fagernes trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/fagernes/";"";"POINT (187284.875762357 6776354.71176504)";"Nord-Aurdal";"3451";"Innlandet";"34";"";"3409 VALDRES 2021-2027,I01E Innlandet fylkeskommune driftskontrakt Elektro 2021-2026";"FV51 S6D1 m1751";"Fylkesveg";"Eksisterende";"51";"6";"1";"1750,552";"1750,552";"1060680";"0,17351763";"0,17351763";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(187236.891 6776338.807 385.912)";"topp"
"190811702";"638";"2";"1";"2022-12-29";"";"2022-12-29T13:49:03";"Gjøvik trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/gjovik/";"";"POINT (262299.546237358 6746118.19859314)";"Gjøvik";"3407";"Innlandet";"34";"RUTE6A";"0501 GJØVIK-TOTEN  2018-2023,9106 Gjøvik og Romerike 2022 - 2027,9152 Innlandet veglys 2021-2026,05E01 Elektro og automasjon Oppland 2021-2025,Vegoppmerking Innlandet 2021-2023";"RV4 S14D1 m10449";"Riksveg";"Eksisterende";"4";"14";"1";"10449,297";"10449,297";"1203619";"0,83537007";"0,83537007";"WITH";"";"";"kanalisertVeg";"0";"";"44:1017156424";"POINT Z(262968.581 6745923.569 224.782)";"topp"
"480783406";"638";"2";"1";"2022-12-15";"";"2023-12-18T12:17:12";"Egersund Trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/egersund/";"";"POINT (-22131.512525003578 6516808.725162018)";"Eigersund";"1101";"Rogaland";"11";"RUTE3";"9301 Stavanger 2022-2027,9351 Rogaland og Sunnhordland 2022-2027,9301 Stavanger 2022-2027 (2023-),Vegoppmerking Vest,9361 automasjon Vestland og Rogaland 2022-2025";"RV426 S1D1 m7663";"Riksveg";"Eksisterende";"426";"1";"1";"7662,52";"7662,52";"319700";"0,76682978";"0,76682978";"WITH";"LEFT";"";"enkelBilveg";"0";"";"44:262052452";"POINT Z(-22281.322 6516733.305 17.293)";""
"480783411";"638";"2";"1";"2022-12-19";"";"2024-04-23T14:57:28";"Haugesund trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/haugesund/";"";"POINT (-49060.26108404575 6623410.479075166)";"Haugesund";"1106";"Rogaland";"11";"";"1154 Elektro Drift Nord-Rogaland 2022-2023,1107 Haugalandet 2019-2024 (2022-),1107 Haugalandet 2024-2029,1154 Elektro Drift Nord-Rogaland 2024-2025";"FV4802 S2D1 m671";"Fylkesveg";"Eksisterende";"4802";"2";"1";"671,347";"671,347";"320742";"0,06850291";"0,06850291";"WITH";"LEFT";"";"enkelBilveg";"0";"";"44:1017138073";"POINT Z(-49139.874 6623455.148 30.908)";""
"480783581";"638";"1";"1";"2013-12-17";"";"2024-04-26T13:26:29";"Sauda kundesenter";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/sauda/";"";"POINT Z(13536.3848689495 6644278.40465754 8.737)";"Sauda";"1135";"Rogaland";"11";"";"1105 Indre Ryfylke 2021-2026,1154 Elektro Drift Nord-Rogaland 2022-2023,1154 Elektro Drift Nord-Rogaland 2024-2025";"FV520 S3D1 m6668";"Fylkesveg";"Eksisterende";"520";"3";"1";"6668,191";"6668,191";"320643";"0,04448677";"0,04448677";"WITH";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(13547.386 6644293.897 7.102)";"fot"
